Sl.No,Type of Institution,No. of Institutions,Teachers,Total All Boys & Girls Students,Total All Boys Students,Total All Girls Students,Total Boys & Girls Students in SC,Total Boys & Girls Students in ST,Total Boys Students in SC,Total Boys Students in ST,Total Girls Students in SC,Total Girls Students in ST
1,Nursery & Primary Schools,35379,144224,3001791,1509959,1491832,847422,67794,428762,35512,418660,32282
2,Middle Schools,9733,82044,1841846,926366,915480,539979,43850,272775,22028,267204,21822
Total,Total No of Nursery & Primary Schools + Middle Schools,45112,226268,4843637,2436325,2407312,1387401,111644,701537,57540,685864,54104
3,High School-State Board,3956,45773,997053,499615,497438,297299,18415,149660,9132,147639,9283
4,High School-Anglo Indian,6,114,4978,502,4476,445,10,77,2,368,8
5,High School-Matriculation,1362,28591,596655,328846,267809,95251,3420,52799,1986,42452,1434
6,High School-Central Board (Kendriya Vidyalayas CBSE),270,8617,146788,82290,64498,12616,738,6960,383,5656,355
Total,Total No of High School,5594,83095,1745474,911253,834221,405611,22583,209496,11503,196115,11080
7,Higher Secondary School-State Board,4324,132400,3917846,1869794,2048052,1035432,48270,497378,24744,538054,23526
8,Higher Secondary School-Anglo Indian,28,925,40948,15789,25159,5007,69,2076,33,2931,36
9,Higher Secondary School-Matriculation,2213,96494,2350068,1282794,1067274,284889,9337,157262,5429,127627,3908
10,Higher Secondary School-Central Board (Kendriya Vidyalayas CBSE),312,19189,380008,209629,170379,33453,2988,18380,1556,15073,1432
Total,Total No of Higher Secondary School,6877,249008,6688870,3378006,3310864,1358781,60664,675096,31762,683685,28902
Total,Total,57583,558371,13277981,6725584,6552397,3151793,194891,1586129,100805,1565664,94086
